City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
133,netrakona,24.8833,90.7167,291.95,98,100,2.74,BD,1679252379
134,hirara,24.8,125.2833,294.3,88,75,6.17,JP,1679252380
135,goma,-1.6792,29.2228,290.05,91,99,1.67,CD,1679252381
136,katsuura,35.1333,140.3,285.6,68,100,3.72,JP,1679252381
137,abu dhabi,24.4667,54.3667,298.68,64,0,1.03,AE,1679252097
138,souillac,-20.5167,57.5167,299.36,89,40,0.51,MU,1679252382
139,burns lake,54.2331,-125.7533,273.83,86,100,1.31,CA,1679252383
140,gushikawa,26.3544,127.8686,292.72,77,0,2.57,JP,1679252383
141,sinazongwe,-17.2614,27.4618,298.45,66,100,4.54,ZM,1679252384
142,san patricio,28.017,-97.5169,287.08,45,99,2.78,US,1679252208
143,thompson,55.7435,-97.8558,259.24,66,75,4.12,CA,1679252385
144,arcata,40.8665,-124.0828,286.04,94,100,0.0,US,1679252386
145,lebu,-37.6167,-73.65,288.78,67,7,9.06,CL,1679252387
146,nikolskoye,59.7035,30.7861,276.09,99,100,2.24,RU,1679252274
147,faanui,-16.4833,-151.75,300.94,66,99,4.76,PF,1679252388
148,ahipara,-35.1667,173.1667,287.65,84,0,1.45,NZ,1679252388
149,gamba,-2.65,10.0,299.27,83,100,2.62,GA,1679252389
150,poum,-20.2333,164.0167,299.3,75,2,4.08,NC,1679252389
151,ko samui,9.5357,99.9357,300.49,74,74,4.23,TH,1679252390
152,joshimath,30.5667,79.5667,281.39,76,90,1.61,IN,1679252391
153,ancud,-41.8697,-73.8203,287.82,58,100,2.99,CL,1679252392
154,lavrentiya,65.5833,-171.0,262.75,96,100,2.59,RU,1679252392
155,diu,20.7141,70.9822,296.8,71,2,5.49,IN,1679252393
156,diego de almagro,-26.3667,-70.05,299.23,33,5,5.82,CL,1679252393
157,colares,38.7992,-9.4469,290.24,72,20,5.14,PT,1679252394
158,chokurdakh,70.6333,147.9167,245.56,97,100,6.64,RU,1679252395
159,pierre,44.3683,-100.351,280.27,63,54,3.6,US,1679252395
160,porto santo,33.072,-16.3415,290.36,82,75,4.12,PT,1679252396
161,nome,64.5011,-165.4064,252.68,73,100,2.24,US,1679252397
162,atherton,53.5237,-2.4935,282.23,77,100,0.45,GB,1679252288
163,badiraguato,25.3667,-107.5167,302.73,23,100,2.73,MX,1679252398
164,castro,-24.7911,-50.0119,299.29,59,49,1.6,BR,1679252399
165,cabo san lucas,22.8909,-109.9124,299.05,68,10,0.89,MX,1679252261
166,kang,-23.6752,22.7876,298.45,22,0,2.94,BW,1679252400
167,kruisfontein,-34.0033,24.7314,293.35,88,100,5.78,ZA,1679252291
168,vidim,56.4088,103.1106,273.69,98,100,3.87,RU,1679252409
169,kismayo,-0.3582,42.5454,300.39,82,100,5.77,SO,1679252242
170,cabedelo,-6.9811,-34.8339,302.52,75,100,4.18,BR,1679252411
171,gao,16.6362,1.637,302.23,5,0,5.15,ML,1679252414
172,stankov,49.5535,13.0698,283.73,87,100,1.22,CZ,1679252427
173,penzance,50.1186,-5.5371,283.02,85,100,6.33,GB,1679252428
174,saint anthony,45.0205,-93.218,274.21,47,0,6.17,US,1679252163
175,neiafu,-18.65,-173.9833,294.53,94,20,0.0,TO,1679252436
176,labuhan,-6.8844,112.2051,299.02,84,100,1.9,ID,1679252438
177,port alfred,-33.5906,26.891,296.58,84,100,3.13,ZA,1679252439
178,noyabrsk,63.1994,75.4507,255.26,89,100,5.42,RU,1679252440
179,ocosingo,17.0667,-92.25,291.49,89,100,2.43,MX,1679252440
180,emba,48.8264,58.1442,271.45,77,32,6.86,KZ,1679252441
181,jacqueville,5.2052,-4.4146,300.57,82,100,6.48,CI,1679252442
182,ponta do sol,32.6667,-17.1,292.66,79,74,1.31,PT,1679252442
183,hithadhoo,-0.6,73.0833,300.85,76,100,2.19,MV,1679252194
184,esso,55.9333,158.7,259.62,96,100,1.56,RU,1679252444
185,taraz,42.9,71.3667,275.38,87,92,2.0,KZ,1679252388
186,bambous virieux,-20.3428,57.7575,299.29,89,40,0.51,MU,1679252259
187,avera,33.194,-82.5271,285.12,26,77,5.11,US,1679252445
188,sirjan,29.452,55.6814,287.65,22,0,2.38,IR,1679252447
189,kamenka,51.3223,42.7678,278.02,83,0,3.81,RU,1679252447
190,teya,60.3778,92.6267,253.7,95,100,3.25,RU,1679252449
191,hay river,60.8156,-115.7999,264.13,73,20,4.63,CA,1679252190
192,hatsukaichi,34.35,132.3333,281.12,72,45,0.92,JP,1679252450
193,bonfim,3.0833,-59.95,309.79,23,7,4.52,BR,1679252451
194,sergeyevka,53.88,67.4158,254.87,98,29,1.91,KZ,1679252452
195,severo-kurilsk,50.6789,156.125,269.15,86,100,5.37,RU,1679252453
196,kahului,20.8947,-156.47,299.73,76,100,2.35,US,1679252453
197,qaanaaq,77.484,-69.3632,250.47,68,14,2.91,GL,1679252454
198,miri,4.4148,114.0089,299.23,94,40,1.03,MY,1679252455
199,ladario,-19.0047,-57.6017,301.31,74,75,3.6,BR,1679252456
200,novikovo,51.1537,37.8879,274.08,98,100,2.35,RU,1679252457
201,cairns,-16.9167,145.7667,298.12,91,71,4.63,AU,1679252381
202,leningradskiy,69.3833,178.4167,262.7,89,100,0.97,RU,1679252458
203,pringsewu,-5.3582,104.9744,296.0,98,100,0.33,ID,1679252458
204,moree,-29.4667,149.85,296.15,52,72,5.37,AU,1679252459
205,caravelas,-17.7125,-39.2481,300.89,65,9,3.36,BR,1679252459
206,genhe,50.7833,121.5167,258.35,100,97,0.59,CN,1679252460
207,pacific grove,36.6177,-121.9166,287.78,87,100,7.6,US,1679252308
208,bethel,41.3712,-73.414,276.98,42,100,2.68,US,1679252461
209,bukachacha,52.9833,116.9167,265.75,97,100,0.63,RU,1679252462
210,slave lake,55.2834,-114.769,267.14,79,0,2.06,CA,1679252463
211,dingle,10.9995,122.6711,296.42,93,100,3.34,PH,1679252464
212,hobbs,32.7026,-103.136,285.82,21,100,4.47,US,1679252465
213,hun,29.1268,15.9477,295.09,21,100,8.96,LY,1679252465
214,hue,16.4667,107.6,296.21,94,40,1.03,VN,1679252468
215,hobyo,5.3505,48.5268,301.23,75,100,4.46,SO,1679252469
216,mahebourg,-20.4081,57.7,299.31,89,40,0.51,MU,1679252470
217,jarwal,27.1667,81.55,292.3,76,100,4.88,IN,1679252470
218,itarema,-2.9248,-39.9167,300.04,77,94,5.04,BR,1679252471
219,rawlins,41.7911,-107.2387,274.09,37,0,13.89,US,1679252472
220,batagay-alyta,67.8006,130.4114,245.98,98,100,1.23,RU,1679252473
221,tabou,4.423,-7.3528,300.17,79,49,4.33,CI,1679252474
222,airai,-8.9266,125.4092,287.73,93,100,0.95,TL,1679252475
223,berlevag,70.8578,29.0864,272.15,74,100,9.77,NO,1679252476
224,fort nelson,58.8053,-122.7002,275.9,47,20,2.06,CA,1679252476
225,yulara,-25.2406,130.9889,301.22,33,75,4.31,AU,1679252477
226,benjamin constant,-4.3831,-70.0311,300.22,83,20,2.57,BR,1679252478
227,shingu,33.7333,135.9833,281.27,76,100,2.24,JP,1679252479
228,atambua,-9.1061,124.8925,295.49,90,98,1.87,ID,1679252479
229,sakaiminato,35.55,133.2333,276.14,100,20,2.57,JP,1679252480
230,nanortalik,60.1432,-45.2371,274.23,69,100,2.63,GL,1679252481
231,nepomuceno,-21.2358,-45.2358,298.81,64,100,0.01,BR,1679252482
232,casper,42.8666,-106.3131,274.83,43,0,8.89,US,1679252482
233,sur,22.5667,59.5289,299.1,32,100,4.59,OM,1679252483
234,matara,5.9485,80.5353,298.36,86,5,0.87,LK,1679252247
235,pisco,-13.7,-76.2167,300.18,61,0,4.63,PE,1679252485
236,dimbokro,6.6451,-4.7048,300.85,63,52,2.91,CI,1679252486
237,namatanai,-3.6667,152.4333,298.83,84,72,1.85,PG,1679252487
238,vila velha,-20.3297,-40.2925,303.12,75,20,5.66,BR,1679252487
239,rabo de peixe,37.8,-25.5833,288.88,82,20,6.17,PT,1679252488
240,hasaki,35.7333,140.8333,281.05,64,100,4.02,JP,1679252489
241,narsaq,60.9167,-46.05,273.46,70,100,3.16,GL,1679252490
242,hofn,64.2539,-15.2082,268.72,65,20,7.21,IS,1679252491
243,stonewall,50.1344,-97.3268,270.94,88,74,4.84,CA,1679252492
244,ponta delgada,37.7333,-25.6667,289.55,82,20,6.17,PT,1679252493
245,nemuro,43.3236,145.575,274.3,76,94,5.76,JP,1679252494
246,tikapur,28.5,81.1333,291.49,72,100,2.16,NP,1679252494
247,saint-leu,-21.15,55.2833,299.63,97,100,2.39,RE,1679252291
248,mathbaria,22.2876,89.9593,293.97,88,100,3.52,BD,1679252495
249,khani,41.9563,42.9566,278.91,86,100,1.26,GE,1679252496
250,tessalit,20.1986,1.0114,302.48,7,0,5.06,ML,1679252497
251,muisne,0.6,-80.0333,301.74,71,98,3.4,EC,1679252497
252,kirakira,-10.4544,161.9205,299.26,82,12,0.74,SB,1679252498
253,port hawkesbury,45.6169,-61.3485,280.88,52,0,5.14,CA,1679252499
254,sychevka,55.8252,34.2736,269.01,92,100,2.5,RU,1679252499
255,rosehearty,57.697,-2.1132,278.86,81,100,1.98,GB,1679252500
256,opuwo,-18.0607,13.84,296.14,34,100,4.64,NA,1679252501
257,fortuna,40.5982,-124.1573,285.89,89,100,6.69,US,1679252502
258,comodoro rivadavia,-45.8667,-67.5,295.07,16,0,6.69,AR,1679252458
259,banikoara,11.2985,2.4386,305.16,31,95,3.13,BJ,1679252503
260,constitucion,-35.3333,-72.4167,294.97,60,11,7.18,CL,1679252455
261,batman,37.8874,41.1322,283.04,81,75,2.57,TR,1679252260
262,saint-pierre,-21.3393,55.4781,299.97,74,75,1.54,RE,1679252504
263,broome,42.2506,-75.833,274.1,52,100,4.47,US,1679252505
264,cody,44.5263,-109.0565,280.27,16,0,6.69,US,1679252468
265,nieuwpoort,51.1244,2.7735,281.56,87,75,2.06,BE,1679252506
266,cape canaveral,28.4058,-80.6048,290.92,69,75,7.2,US,1679252273
267,lodja,-3.4833,23.4333,293.79,90,62,0.98,CD,1679252507
268,santander jimenez,24.2167,-98.4667,283.67,58,100,4.71,MX,1679252508
269,aguimes,27.9054,-15.4461,291.29,63,20,10.8,ES,1679252508
270,koungou,-12.7336,45.2042,300.99,78,0,2.57,YT,1679252509
271,dunedin,-45.8742,170.5036,287.87,80,100,2.67,NZ,1679252476
